attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_utilization_ratio,total_trans_amt_avg
0,59,M,1,High School,Divorced,$40K - $60K,Blue,46,4,1,2,14784,1374,0.921,1.3,0.093,52
0,63,M,1,High School,Married,$60K - $80K,Blue,56,3,3,2,10215,1010,0.843,1.0,0.099,47
0,44,F,3,Uneducated,Single,$60K - $80K,Blue,34,5,2,2,10100,0,0.525,1.571,0.0,58
0,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785,1362,0.739,0.9,0.285,27
0,53,M,3,Doctorate,Married,$80K - $120K,Blue,33,3,2,3,2753,1811,0.977,2.571,0.658,41
0,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451,1690,1.323,1.6,0.69,61
0,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923,2517,1.726,1.667,0.282,66
0,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650,1490,1.75,1.0,0.562,50
0,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555,1696,0.519,0.714,0.135,53
0,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520,1914,0.51,0.483,0.544,32
0,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035,2298,1.724,1.176,0.757,50
0,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433,0,0.865,1.2,0.0,43
0,57,F,1,Graduate,Divorced,$40K - $60K,Blue,49,3,3,2,3672,886,1.32,0.556,0.241,52
1,66,F,0,Doctorate,Married,$60K - $80K,Blue,56,5,4,3,7882,605,1.052,0.143,0.077,44
0,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426,578,1.042,0.474,0.018,39
0,51,M,2,Graduate,Married,$40K - $60K,Blue,44,4,1,0,6205,2204,0.803,0.556,0.355,48
0,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304,2517,1.449,1.2,0.145,53
0,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906,0,1.214,1.0,0.0,54
0,38,F,4,Graduate,Single,$60K - $80K,Blue,28,2,3,3,9830,2055,0.977,0.917,0.209,45
0,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516,0,1.621,1.333,0.0,51
0,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,1430,2.316,0.588,0.626,64
0,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,2020,2.357,1.7,0.793,63
0,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458,1435,0.787,0.8,0.074,45
0,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745,1227,0.624,0.6,0.259,28
0,52,F,3,College,Married,Less than $40K,Blue,41,6,3,2,2622,1549,1.321,1.143,0.591,62
1,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438,808,0.997,0.9,0.562,37
0,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171,2179,1.224,1.923,0.687,51
0,49,M,2,Post-Graduate,Married,$120K +,Blue,36,4,2,0,19763,2517,0.664,0.25,0.127,40
1,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,0,1.041,0.364,0.0,40
0,49,F,4,Graduate,Divorced,Less than $40K,Blue,36,6,4,2,3298,2200,0.678,0.6,0.667,32
0,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,2363,0.75,0.6,0.843,32
0,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,1.107,1.417,0.422,49
0,44,F,5,Graduate,Married,$60K - $80K,Blue,35,4,1,2,6273,978,2.275,1.083,0.156,54
0,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,1753,0.69,1.25,0.525,43
0,55,M,3,Doctorate,Married,$80K - $120K,Blue,47,4,2,3,3436,2016,0.901,0.833,0.587,33
1,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,0,0.763,0.5,0.0,46
0,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926,1251,0.944,1.154,0.211,47
0,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,2102,0.997,0.733,0.088,49
0,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,0.989,0.917,0.111,56
0,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,1515,0.592,0.6,0.044,40
0,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584,1817,0.62,0.667,0.276,38
0,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,1.004,0.556,0.704,40
0,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,1107,1.715,2.4,0.656,98
0,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,1.072,2.0,0.053,55
0,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,1763,1.266,1.05,0.051,37
0,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,1034,0.758,0.286,0.467,42
0,54,M,1,Graduate,Divorced,$60K - $80K,Blue,43,4,2,3,2910,2030,0.769,0.4,0.698,59
0,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,1528,0.414,0.522,0.067,39
0,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312,1932,1.312,1.182,0.079,55
0,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,1515,0.857,0.435,0.287,39
0,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000,2517,0.475,1.875,0.36,48
0,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,1801,0.751,0.966,0.256,41
0,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536,1823,0.703,0.353,0.719,63
0,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904,1899,0.85,0.4,0.066,38
0,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567,1695,1.242,1.412,0.198,35
0,44,M,1,Post-Graduate,Divorced,$120K +,Blue,36,6,2,2,34516,1533,0.924,0.526,0.044,55
1,55,F,4,Graduate,Married,$40K - $60K,Blue,45,2,4,3,2158,0,0.585,0.714,0.0,51
0,59,F,1,Graduate,Married,$60K - $80K,Blue,52,2,3,3,10133,1417,0.383,0.818,0.14,53
0,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516,1219,1.129,2.0,0.035,58
0,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085,1910,0.921,0.667,0.619,43
0,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040,2056,0.607,0.722,0.108,39
0,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,0,0.483,0.6,0.0,38
0,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756,837,1.932,1.8,0.066,100
0,57,M,2,Post-Graduate,Married,$120K +,Blue,45,5,3,3,5266,0,1.702,1.636,0.0,52
0,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930,0,0.731,1.333,0.0,60
0,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302,1953,0.875,2.182,0.062,44
0,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576,0,0.579,0.619,0.0,43
0,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664,2037,0.85,0.933,0.765,44
0,45,F,3,High School,Married,$60K - $80K,Blue,28,5,1,2,2535,2440,1.705,1.222,0.963,65
0,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709,895,1.656,0.882,0.524,52
0,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454,1200,0.597,0.304,0.347,43
0,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,1706,1.047,0.68,0.45,38
0,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689,2250,0.576,0.727,0.232,60
1,47,M,2,Doctorate,Married,$80K - $120K,Blue,37,2,3,3,5449,1628,0.696,0.385,0.299,46
0,49,F,3,College,Single,$60K - $80K,Blue,43,4,4,0,23032,1960,0.619,1.0,0.085,58
0,41,F,3,High School,Married,$60K - $80K,Silver,34,5,3,3,34516,2053,1.034,0.733,0.059,57
0,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,1264,0.562,0.5,0.43,38
0,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031,1879,0.788,1.5,0.62,86
0,44,M,3,High School,Divorced,$60K - $80K,Blue,25,3,3,0,1862,0,0.883,0.789,0.0,36
0,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358,926,0.762,0.542,0.111,42
0,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516,931,0.828,1.1,0.027,48
0,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450,2440,1.283,0.667,0.169,41
0,62,F,1,College,Married,Less than $40K,Blue,56,6,0,0,1438,0,0.813,1.095,0.0,44
0,54,M,4,Post-Graduate,Divorced,$120K +,Blue,36,6,3,2,33791,1960,0.618,0.824,0.058,33
0,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466,1886,0.56,0.391,0.223,41
0,42,M,3,High School,Married,$60K - $80K,Blue,36,5,3,3,15088,865,0.939,1.625,0.057,52
0,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263,1674,0.588,0.346,0.513,35
0,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494,706,1.674,3.0,0.473,54
0,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551,1294,0.791,1.056,0.095,37
0,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886,895,1.826,1.571,0.047,68
0,52,M,3,High School,Divorced,$80K - $120K,Blue,48,3,2,0,11976,1273,1.024,1.118,0.106,58
0,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964,1559,1.873,0.786,0.156,65
0,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159,1196,0.712,1.0,0.05,46
0,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362,1901,0.816,1.0,0.355,40
0,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516,1023,1.004,0.625,0.03,81
0,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,1951,0.766,0.611,0.615,42
0,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262,1836,1.584,1.533,0.15,43
0,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788,1540,0.566,0.382,0.407,33
0,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516,1527,0.526,0.355,0.044,30
0,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926,0,0.676,0.846,0.0,54
0,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090,0,0.567,0.364,0.0,45
1,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669,2227,0.622,0.353,0.191,31
0,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532,1300,0.846,1.417,0.096,52
0,50,F,1,Uneducated,Divorced,Less than $40K,Silver,36,4,2,2,11888,2090,0.7,0.765,0.176,37
0,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393,1985,0.788,0.778,0.83,61
0,43,M,4,Graduate,Married,$40K - $60K,Blue,39,5,1,2,6111,2517,0.632,2.2,0.412,76
0,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270,1662,1.186,1.545,0.086,55
0,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710,2517,1.541,0.7,0.678,46
0,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235,797,0.541,1.0,0.246,46
0,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749,788,0.688,0.929,0.067,43
0,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753,2100,0.839,0.733,0.271,38
0,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408,1186,1.689,1.211,0.114,60
0,63,F,1,College,Married,$60K - $80K,Blue,36,6,2,3,3967,1568,1.236,1.231,0.395,57
0,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205,2517,0.939,0.727,0.406,63
1,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025,0,0.654,0.8,0.0,37
0,51,M,1,Post-Graduate,Single,$120K +,Blue,42,6,2,3,9036,2327,0.649,0.636,0.258,62
0,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926,2517,1.996,1.5,0.169,63
0,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335,1128,0.397,0.667,0.178,60
1,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979,0,0.71,1.0,0.0,53
1,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732,0,0.76,0.455,0.0,46
0,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250,2117,1.162,2.875,0.941,52
0,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916,1536,1.317,1.0,0.141,46
0,47,F,4,Graduate,Married,$60K - $80K,Blue,36,4,1,3,5349,1228,0.728,1.308,0.23,44
0,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366,1104,0.572,0.625,0.118,33
0,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617,0,1.047,0.467,0.0,61
0,68,M,1,Graduate,Married,$60K - $80K,Blue,56,5,2,3,13860,1652,1.255,1.909,0.119,59
0,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386,0,0.868,0.571,0.0,59
0,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405,1540,0.469,1.231,0.64,37
0,53,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154,930,2.121,1.364,0.432,55
0,42,F,5,Graduate,Married,$40K - $60K,Blue,36,3,3,3,2038,0,0.786,0.75,0.0,44
0,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135,0,1.373,0.812,0.0,59
0,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364,618,0.554,0.8,0.066,40
0,44,F,2,Uneducated,Married,$60K - $80K,Silver,35,4,3,2,32643,0,1.3,2.429,0.0,44
0,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195,1954,0.971,0.706,0.612,44
0,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852,1024,1.009,1.0,0.359,58
0,59,F,1,College,Single,$60K - $80K,Blue,36,2,3,3,4224,1305,0.852,0.824,0.309,37
0,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459,2071,1.248,2.167,0.101,46
0,47,F,4,College,Divorced,Less than $40K,Blue,41,6,5,3,3482,2114,0.508,0.263,0.607,43
0,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065,1570,1.077,1.333,0.512,40
0,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185,1761,0.682,0.429,0.806,54
0,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611,746,0.993,0.706,0.463,48
0,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822,2173,1.456,2.286,0.77,52
1,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975,2517,0.658,0.7,0.076,35
0,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,1438,0,0.776,0.828,0.0,41
0,45,F,4,Uneducated,Divorced,$60K - $80K,Blue,36,4,3,3,15875,1719,0.86,1.467,0.108,43
0,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,3,6703,893,0.567,0.75,0.133,49
1,53,M,2,Doctorate,Married,$80K - $120K,Blue,36,2,2,1,3212,0,0.713,0.25,0.0,37
0,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1,3,34516,1260,0.588,0.789,0.037,44
0,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1,2,9797,1434,0.644,0.478,0.146,44
0,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400,1777,0.791,0.867,0.171,39
0,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792,1836,1.432,0.88,0.069,51
0,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006,2517,2.053,1.0,0.837,51
0,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482,1072,0.706,1.444,0.055,64
0,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356,985,0.35,0.556,0.294,35
0,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771,2248,1.791,0.8,0.39,77
0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106,2107,0.948,1.0,0.19,51
0,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890,2001,1.334,1.0,0.692,51
0,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380,1701,0.747,1.273,0.503,60
0,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331,1251,0.949,1.083,0.059,29
0,49,F,3,Uneducated,Single,$60K - $80K,Blue,38,6,2,1,12860,0,0.646,0.286,0.0,49
0,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,0,6278,462,1.161,0.941,0.074,32
0,60,F,0,College,Single,Less than $40K,Blue,55,5,1,3,1438,738,0.782,0.571,0.513,37
0,50,F,2,High School,Married,Less than $40K,Blue,36,5,1,2,9355,1626,0.701,0.867,0.174,43
0,41,F,2,Post-Graduate,Married,$60K - $80K,Blue,31,6,1,3,20758,0,0.688,0.684,0.0,48
0,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,1,14612,1976,1.768,3.0,0.135,76
0,43,M,4,Graduate,Divorced,$80K - $120K,Blue,27,5,2,0,27259,0,0.731,0.591,0.0,39
0,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347,1594,0.896,0.762,0.251,47
0,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592,1676,1.097,0.529,0.078,36
0,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449,1598,0.971,0.556,0.463,39
0,47,F,3,High School,Married,Less than $40K,Blue,34,2,1,2,6028,799,0.819,0.571,0.133,45
0,41,M,0,High School,Divorced,$120K +,Blue,36,3,2,3,18214,1998,0.829,1.1,0.11,64
0,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,16393,1423,1.642,0.75,0.087,34
1,68,M,0,High School,Married,Less than $40K,Blue,52,1,3,2,1438,900,0.743,0.615,0.626,36
0,59,M,1,College,Married,$60K - $80K,Blue,36,4,1,2,7871,1687,1.242,1.444,0.214,64
0,48,M,4,Doctorate,Married,$80K - $120K,Blue,36,5,3,0,5288,866,0.869,0.75,0.164,42
0,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5,3,11376,2006,0.619,0.8,0.176,48
0,48,M,3,College,Married,$80K - $120K,Blue,41,4,5,3,12302,1632,1.509,0.519,0.133,36
0,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2,1,34516,1679,0.623,0.5,0.049,39
0,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,2,34516,1468,0.505,0.684,0.043,41
0,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514,1580,0.504,0.8,0.15,45
1,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,3,1438,0,0.707,0.421,0.0,32
1,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,3,1438,0,0.688,0.5,0.0,35
0,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1,2,2619,1779,1.259,0.947,0.679,39
0,58,M,2,College,Married,$120K +,Blue,53,2,3,0,24407,2395,1.071,0.714,0.098,48
0,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2,2377,1649,0.93,1.167,0.694,53
0,59,M,0,Doctorate,Divorced,$80K - $120K,Silver,40,3,2,3,34516,1359,1.327,1.364,0.039,39
0,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,3,11086,2207,0.869,1.105,0.199,38
0,48,M,3,High School,Single,$60K - $80K,Blue,36,4,2,2,11432,2517,0.615,0.762,0.22,37
0,43,M,4,High School,Married,$40K - $60K,Blue,36,5,3,2,13258,1721,0.908,1.333,0.13,51
0,48,M,2,College,Single,Less than $40K,Blue,36,3,2,3,2571,1955,0.531,0.714,0.76,51
0,43,F,4,Graduate,Single,Less than $40K,Blue,31,5,2,0,5781,1168,0.638,0.455,0.202,50
0,44,M,4,High School,Married,$60K - $80K,Blue,30,5,1,2,7872,2509,0.971,0.882,0.319,36
0,41,M,3,High School,Married,$80K - $120K,Blue,35,6,1,2,34516,1202,0.603,0.737,0.035,41
0,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,1,3,11127,1835,2.368,1.273,0.165,61
0,50,M,2,Graduate,Single,$40K - $60K,Blue,43,2,1,3,1857,1603,0.579,1.263,0.863,36
0,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1,0,1913,1272,1.008,1.0,0.665,65
0,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,3,0,3839,2295,0.569,0.714,0.598,52
0,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2,3,2115,1141,0.616,0.538,0.539,61
0,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2,2,1438,679,0.859,1.071,0.472,38
0,41,M,2,High School,Single,$80K - $120K,Blue,28,4,3,0,27756,1789,0.75,0.846,0.064,41
0,45,M,3,College,Single,$60K - $80K,Blue,32,4,1,2,1438,0,0.81,0.625,0.0,56
0,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,4,2,13878,2222,0.853,0.357,0.16,43
0,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3,3106,1304,0.604,0.407,0.42,36
0,51,M,2,Graduate,Married,$120K +,Blue,44,4,3,3,34516,1666,0.613,0.8,0.048,67
1,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,4,3,1438,1025,0.838,0.714,0.713,58
0,57,M,2,Doctorate,Married,$80K - $120K,Blue,46,2,3,0,18871,1740,1.727,2.0,0.092,72
0,41,M,5,Graduate,Single,$120K +,Blue,29,5,2,2,5207,1748,1.073,1.0,0.336,50
0,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,2,17965,1644,0.921,0.923,0.092,35
0,43,M,1,College,Single,$60K - $80K,Blue,37,6,3,3,2733,1819,0.767,0.923,0.666,37
0,55,M,2,College,Married,$60K - $80K,Blue,48,4,3,2,8863,1301,1.207,1.455,0.147,56
1,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857,1833,0.723,0.7,0.987,48
0,44,M,3,Graduate,Divorced,$80K - $120K,Blue,33,3,3,3,34516,0,0.483,0.35,0.0,41
0,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,3,3,11107,1222,0.538,0.941,0.11,45
0,44,M,4,Doctorate,Single,$80K - $120K,Blue,34,4,1,2,21573,1585,0.621,2.273,0.073,38
1,53,F,2,College,Married,Less than $40K,Blue,33,2,3,3,2859,2517,0.993,0.667,0.88,27
0,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2,2,5269,1475,1.148,0.667,0.28,83
1,49,M,5,College,Married,$40K - $60K,Blue,45,2,2,3,1438,0,0.734,0.615,0.0,38
1,45,F,2,College,Married,Less than $40K,Blue,36,1,3,2,3387,0,0.789,0.6,0.0,21
0,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,2,3,1982,1289,0.939,0.69,0.65,28
0,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2,2,4645,1650,0.912,0.65,0.355,36
0,46,F,3,Doctorate,Single,$60K - $80K,Blue,36,6,3,2,2189,1666,0.343,0.636,0.761,35
1,46,M,4,High School,Married,$120K +,Blue,30,3,3,3,2442,0,0.98,0.727,0.0,36
0,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4,1,2,21304,1532,1.018,0.923,0.072,70
